ind_num	score	content
11	1	之前 看中 的 是 3 ， 3p 首发 价 同价位 ， 按着 买 新 不 买 旧理儿 。 。 还 不错 。 配套 的 鼠标 和 键盘 ， 耳机 在 路上 了 。 就是 我爸 说 女孩子 不 适合 这 类型 的 电脑 ? 。 没 办法 我 是 颜控 ， 简直 太太 太帅 了 ！ ！ ！ ！ 买 完 配件 就 吃 土 了 ， 新 口红 都 没得 及 买 ? ?
12	1	刚 入手 ， 用 的 第一天 。 我 主要 游戏 是 魔兽 ， 偶尔 玩一玩 联盟 。 本人 要求 不高 ， 外观 都 没 啥 要求 。 到手 看 了 一遍 ， 有 那么 一处 黏 黏 的 东西 ， 不 影响 使用 ， 也 没 介意 。 色彩 确实 好 ， 可能 刚换 新 的 ， 感觉 上 有 变化 。 游戏 运行 时 ， 风扇 生 也 确实 大 ， 但 对于 我 来说 ， 投入 到 游戏 中 ， 还 哪 有 时间 顾及 风扇
13	1	屏幕 有 一处 轻微 漏光 ， 但是 只要 不是 黑色 背景 就 看不出来 ， win10 右键 卡顿 已经 通过 删除 注册 表格 解决 ， 吃 鸡开 高效 有点 卡顿 可能 是 没有 加速器 的 原因 ， 还有 建议 大家 不要 下载 某 60 和 某 管家 ， 没用 还会 对 电脑 做出 负 优化 ， c 盘 没有 分盘 ， 有 技术 帖 可以 教 但 我 懒 就 没有 搞 了 ， 打算 等 SSD 和 内存条 再 降点 价再 升级 ? ， 过段时间 再 追加 希望 能 给 喜欢 这台 电脑 的 大学 狗们 ? 一点 帮助 （ 提问 有 时间 我会 解答 ）
14	1	我 买 的 暗夜精灵 三代 ， 一直 在 挑选 电脑 ， 我 是 学 数据分析 和 Java 的 一个 学生 ， 老师 之前 推荐 过 这台 ， 当时 看着 价格 比较 贵 没舍得 ， 当时 2.28 惠普 搞 促销 一年 好像 只有 一次 吧 ， 狠狠心 当时 买下来 了 ， 性能 不错 ， 声音 有些 可以 听到 的 微微 响 倒 是 不 妨碍 ， 我 不 玩 电脑游戏 但是 我 同学 帮 我 玩 的 用 这台 电脑 可以 的 ， 散热 效果 什么 的 ， 一直 喜欢 就 买 ， 别 犹豫 因为 最后 你 还是 会 选择 你 喜欢 的 ， 就 像 人 一样 ， 选来 选去 还是 喜欢 重要
15	1	刚刚 到手 ， 漏光 目前 是 个 问题 ， 但 只 在 开机 的 时候 会 看着 烦 ， 奇美 的 显示屏 不是 很 懂 ， win10 系统 今天 刚 接触 ， 玩 一段时间 再 评价 。 感觉 我 为了 玩 lol   买 这个 配置 有点 败家 了 。 。 。 但是 ， 爽 ！ ！ 全 特效 135fps .
16	1	头 一次 这么 激动 的 等待 一个 东西     很 忐忑 的 拆 包装 之类 的     因为 是 学 设计 的     然后 师哥 推荐 的 这个 电脑   考虑 了 很 久 才 下单     现在 开始 熟悉 了     但是 有个 问题 是 无端 端的 老是 后 台下 游戏     几百 m 那种     很烦     其他 还好     音质 一般     风扇 还 可以 吧     没有 传说 中 那么 响     慢慢 熟悉 吧     总体 还 行
17	1	8.22 第二次 上架 10999 抢到 ， 肯定 值 ， 一线品牌 、 外观 好看 、 做工 精良 、 屏幕 素质 高 、 硬件 参数 美 ， 本来 打算 12999 入手 的 （ 1w3 我 还是 觉得 值 ） ， 结果 抢到 还 便宜 了 2000 ， 美滋滋 。 下面 来说 说 一些 我 之前 担心 的 问题 : 1 . 肯定 是 一手 ， 电池 损耗 0 ， 硬盘 15 次 4h 。 2 . 体型 确实 大 ， 而且 重 ， 不薄 也 不厚 ， 电源适配器 是 一块 大 板砖 ， 注重 便携性 不 推荐 。 3 . 只有 c 面是 金属 ， 拉丝 很漂亮 ， 但 不 耐脏 ， 而且 材质 问题 键盘 温度 不是 很 好 。 4 . 屏幕 漏光 可以 忽略 ， 很棒 的 屏幕 ， 不用 担心 。 5 . 续航 不会 很差 ， 对比 2plus 就 知道 ， 偶尔 外出 学习 工作 三四个 小时 还是 没 问题 的 （ 不 打游戏 喔 ） 。 6 . 虽然 外放 没 功放 ， 但 还是 不错 的 。 7 . 玩 大作 cpu 温度 一高 ， 风扇 声音 就 来 了 ， 不小 ， 但 个人 可以 接受 ， 平时 安静 。 8 . 散热 和 温度 : 抛开 宣传 门 ， 这款 1070 惠普 所用 的 散热 模组 只能 说 中规中矩 ， 双 风扇 四 粗管 ， 对比 微星 现在 的 gs   ge   gt 似乎 都 差点 意思 ， 但 对比 评测 ， 3p1070 的 散热 与 ge 系列 相当 ， 因此 比 gs 好 不及 gt ， 平时 温度 没 毛病 ， 室温 28 度 没 垫高 玩 大革命 cpu85 度 ， 键盘 比较 热 ， 但 不 烫 ， 可以 玩 ， 显卡 温度 美丽 。 这款 进 风量 足 ， 所以 垫高 区别 不 大 。 娱乐 大师 跑 分 仅供参考
18	1	8.22 第二次 上架 10999 抢到 ， 肯定 值 ， 一线品牌 、 外观 好看 、 做工 精良 、 屏幕 素质 高 、 硬件 参数 美 ， 本来 打算 12999 入手 的 （ 1w3 我 还是 觉得 值 ） ， 结果 抢到 还 便宜 了 2000 ， 美滋滋 。 下面 来说 说 一些 我 之前 担心 的 问题 : 1 . 肯定 是 一手 ， 电池 损耗 0 ， 硬盘 15 次 4h 。 2 . 体型 确实 大 ， 而且 重 ， 不薄 也 不厚 ， 电源适配器 是 一块 大 板砖 ， 注重 便携性 不 推荐 。 3 . 只有 c 面是 金属 ， 拉丝 很漂亮 ， 但 不 耐脏 ， 而且 材质 问题 键盘 温度 不是 很 好 。 4 . 屏幕 漏光 可以 忽略 ， 很棒 的 屏幕 ， 不用 担心 。 5 . 续航 不会 很差 ， 对比 2plus 就 知道 ， 偶尔 外出 学习 工作 三四个 小时 还是 没 问题 的 （ 不 打游戏 喔 ） 。 6 . 虽然 外放 没 功放 ， 但 还是 不错 的 。 7 . 玩 大作 cpu 温度 一高 ， 风扇 声音 就 来 了 ， 不小 ， 但 个人 可以 接受 ， 平时 安静 。 8 . 散热 和 温度 : 抛开 宣传 门 ， 这款 1070 惠普 所用 的 散热 模组 只能 说 中规中矩 ， 双 风扇 四 粗管 ， 对比 微星 现在 的 gs   ge   gt 似乎 都 差点 意思 ， 但 对比 评测 ， 3p1070 的 散热 与 ge 系列 相当 ， 因此 比 gs 好 不及 gt ， 平时 温度 没 毛病 ， 室温 28 度 没 垫高 玩 大革命 cpu85 度 ， 键盘 比较 热 ， 但 不 烫 ， 可以 玩 ， 显卡 温度 美丽 。 这款 进 风量 足 ， 所以 垫高 区别 不 大 。 娱乐 大师 跑 分 仅供参考 < div   class = ' uploadimgdiv ' > < img   class = ' uploadimg '   border = ' 0 '     src = ' http : / / img30.360 buyimg . com / shaidan / jfs / t8017 / 44 / 9972929 / 41667 / ab8f7085 / 599eb7a2N2f3f1b48 . jpg '   / > < / div > < div   class = ' uploadimgdiv ' > < img   class = ' uploadimg '   border = ' 0 '     src = ' http : / / img30.360 buyimg . com / shaidan / jfs / t7903 / 341 / 1684010369 / 85281 / 757f013f / 599eb84aNffee488d . jpg '   / > < / div > < div   class = ' uploadimgdiv ' > < img   class = ' uploadimg '   border = ' 0 '     src = ' http : / / img30.360 buyimg . com / shaidan / jfs / t7342 / 258 / 1677678457 / 48128 / f9aa0baf / 599eb859Nb7656383 . jpg '   / > < / div > < div   class = ' uploadimgdiv ' > < img   class = ' uploadimg '   border = ' 0 '     src = ' http : / / img30.360 buyimg . com / shaidan / jfs / t7504 / 311 / 1684982949 / 50373 / ed29a33c / 599eb85cN4cd7a077 . jpg '   / > < / div > < div   class = ' uploadimgdiv ' > < img   class = ' uploadimg '   border = ' 0 '     src = ' http : / / img30.360 buyimg . com / shaidan / jfs / t8998 / 302 / 9370938 / 57840 / 6b9920c4 / 599eb85cN7e3adc10 . jpg '   / > < / div > < div   class = ' uploadimgdiv ' > < img   class = ' uploadimg '   border = ' 0 '     src = ' http : / / img30.360 buyimg . com / shaidan / jfs / t9328 / 321 / 8964915 / 49046 / 11895a9 / 599eb85fN4690fbc9 . jpg '   / > < / div > < div   class = ' uploadimgdiv ' > < img   class = ' uploadimg '   border = ' 0 '     src = ' http : / / img30.360 buyimg . com / shaidan / jfs / t7459 / 8 / 1688392060 / 109695 / d8e8b5ba / 599eb860Nac89547d . jpg '   / > < / div > < div   class = ' uploadimgdiv ' > < img   class = ' uploadimg '   border = ' 0 '     src = ' http : / / img30.360 buyimg . com / shaidan / jfs / t7681 / 40 / 1657458545 / 57928 / 49cbe162 / 599eb860Nb1f8269c . jpg '   / > < / div > < div   class = ' uploadimgdiv ' > < img   class = ' uploadimg '   border = ' 0 '     src = ' http : / / img30.360 buyimg . com / shaidan / jfs / t9385 / 336 / 11112445 / 212805 / 2abd4ab0 / 599eb853Nbc692e1d . jpg '   / > < / div >
19	1	正品 行货 ， 物流 当天 送达 ， 真机酷 炫 ， 细节 做工 彰显 一线 大厂 风范 ； 开箱 初始 ， 略显 失望 ， 从 开箱 到 打开 真机 外膜 前 ， 能 明显 感觉 到 压缩 成本 的 包装 风格 ， 跟 开箱 THINKPAD 真是 两种 感知 ； 除去 外膜 ， 当 暗影 三 现出 真身 时 ， 不得不 被 其 折服 ， 设计 别具一格 ， A 面 视觉 立体 冲击 感 很 强 ， 竟会 产生 不是 平面 的 错觉 ， 展开 屏幕 细细 检视 了 一番 ， 用料 扎实 ， 做工 精细 ， 键盘 屏幕 一尘不染 ； 细节 方面 ， 就 连 触摸板 的 左 、 右 按键 的 立体 棱线 都 处理 的 干净利落 ； 暗影 三 的 外观设计 确实 惊艳 卓绝 ， 简约 霸气 很 适合 游戏 本 ； 性能 方面 ， 用机 3 小时 ， 感觉 属于 游戏 中端 本 ， 开机 鲁 大师 跑 分 21 万 。 试玩 了 剑 三 ， 手绘 模式 可 到 第三 档 ， 重置 模式 可 到 第二档 ， 两种 模式 各 四档 ； 但是 1050TI 哪怕 开启 重置 第一 档时 GPU 就 占用 100% ， 且 风扇 声 立马 飞转 ， 风扇 声 明显 ； 手绘 模式 很 轻松 ， 只有 最后 一档 唯美 模式 不能 开启 。 音效 方面 ， 音质 出众 ， 环绕 立体感 很强 ， 听 了 几首 无损 音乐 感觉 甚 好 ； 外放 喇叭 ， 声音 宏亮 细致 不会 破音 略有 环绕 立体感 ， 追求 音质 的话 还是 用 耳机 和 音箱 吧 。 要是 玩剑 网三 的话 ， 1050TI 配 8G 内存 真的 捉襟见肘 ， 建议 再 扩 8G 内存 提升 整机 性能 ； 128G 的 固态 简直 是 鸡肋 ， 系统 占 33G 而 剑 三 80 多 G
20	0	超级 激动 ， 我 等 了 整整 4 个 月 到 双 11 立马 秒杀 ， 真的 不 容易 ， 目测 完美 ， 还 没 开机 ， 看着 完美 ， 爽爽爽 开心 爆炸
21	1	物流 : 没得说 ， 头 天下 单 ， 第二天 下午 就 到 ， 就是 快 商品质量 : 都 说 鲁 大师 跑 分 比较 可信 ， 东西 一到 ， 跳过 所有 步骤 ， 直接 安装 （ 非 联网 ） 一个 最新版 鲁 大师 （ 预先 下载 到 U盘 ） 跑 了 跑 分 （ 如图 ） ， 分数 比 网友 们 跑 的 低 两万多 （ 不会 调 设置 ， 原始 设置 跑 的 ） ， 配置 满足 使用 需求 就 购物 体验 来说 此次 还 不错 ， 使用 体验 用后 再说
22	1	很棒 的 一次 购物 体验 ， 京东 618 打 了 特价 不说 ， 物流 时 外包装 也 有 格外 注意 ， 因为 家里 临时 有事 不能 等 来 送 就 自己 去 自提 了 ， 京东 发货 现场 的 工作人员 一点 不 嫌 麻烦 都 很 热情 的 说 。 回家 开拆 笔记本 包装盒 子时 就 很 满意 ， 完美 的 未 开封 全新 电脑 ， 拿 起来 感觉 这本 还 挺 有 份量 的 即便 没有 光驱 ， 但 也 比 我 预想 中 的 要 轻 ， 怎么 说 也 是 17 寸 的 本儿 ， 以前 没用过 这么 大 的 实在 不好 对比 ， 开机 后 正常 激活 没有 卡顿 ， 话 说 开机 速度 真的 很快 （ 可能 都 不足 3 秒 ） ， 屏幕 颜色 饱满 亮度 足 ， 不过 激活 后进 系统 还是 遇到 了 点 问题 ， 系统 一连 上网 就 在 后台 偷着 自动更新 害得 我 没发 正常 关机 了 ， 强关 都 关不上 wtf （ 真心 建议 各位 关 了 那个 破 自动更新 ） ， 我 只能 说 巨硬 泥垢 了 ， 乃 这 bug10 系统 这么 多年 怎么 还是 这么 不 省心 。 目前 只试 着 玩 了 会儿 星际 并 随后 跑 了 下分 ， 星际 2 全 高画质 流畅 运行 ， 玩 了 半个 多 小时 不见 卡顿 ， 温度控制 得 不错 ， 游戏 结束 时 伸手 试 了 下 没有 丝毫 烫手 感 ， 跑 分如图 。 另外 说 下 这本 貌似 是 内置 好 的 电池 所以 再也 不必 担心 砸 硬盘 了 但 同样 电池 想取 下来 可能 比较 困难 还有 待 研究 。 总之 ， 东西 是 真 · 物超所值 ， 好评 ~
23	1	很棒 的 一次 购物 体验 ， 京东 618 打 了 特价 不说 ， 物流 时 外包装 也 有 格外 注意 ， 因为 家里 临时 有事 不能 等 来 送 就 自己 去 自提 了 ， 京东 发货 现场 的 工作人员 一点 不 嫌 麻烦 都 很 热情 的 说 。 回家 开拆 笔记本 包装盒 子时 就 很 满意 ， 完美 的 未 开封 全新 电脑 ， 拿 起来 感觉 这本 还 挺 有 份量 的 即便 没有 光驱 ， 但 也 比 我 预想 中 的 要 轻 ， 怎么 说 也 是 17 寸 的 本儿 ， 以前 没用过 这么 大 的 实在 不好 对比 ， 开机 后 正常 激活 没有 卡顿 ， 话 说 开机 速度 真的 很快 （ 可能 都 不足 3 秒 ） ， 屏幕 颜色 饱满 亮度 足 ， 不过 激活 后进 系统 还是 遇到 了 点 问题 ， 系统 一连 上网 就 在 后台 偷着 自动更新 害得 我 没发 正常 关机 了 ， 强关 都 关不上 wtf （ 真心 建议 各位 关 了 那个 破 自动更新 ） ， 我 只能 说 巨硬 泥垢 了 ， 乃 这 bug10 系统 这么 多年 怎么 还是 这么 不 省心 。 目前 只试 着 玩 了 会儿 星际 并 随后 跑 了 下分 ， 星际 2 全 高画质 流畅 运行 ， 玩 了 半个 多 小时 不见 卡顿 ， 温度控制 得 不错 ， 游戏 结束 时 伸手 试 了 下 没有 丝毫 烫手 感 ， 跑 分如图 。 另外 说 下 这本 貌似 是 内置 好 的 电池 所以 再也 不必 担心 砸 硬盘 了 但 同样 电池 想取 下来 可能 比较 困难 还有 待 研究 。 总之 ， 东西 是 真 · 物超所值 ， 好评 ~ < div   class = ' uploadimgdiv ' > < img   class = ' uploadimg '   border = ' 0 '     src = ' http : / / img30.360 buyimg . com / shaidan / jfs / t7957 / 16 / 603997704 / 16023 / 70990ade / 59954f35N1f79e0cd . jpg '   / > < / div > < div   class = ' uploadimgdiv ' > < img   class = ' uploadimg '   border = ' 0 '     src = ' http : / / img30.360 buyimg . com / shaidan / jfs / t5983 / 282 / 9513468514 / 10813 / d9ddda9f / 59954f3bN56f0a465 . jpg '   / > < / div > < div   class = ' uploadimgdiv ' > < img   class = ' uploadimg '   border = ' 0 '     src = ' http : / / img30.360 buyimg . com / shaidan / jfs / t6082 / 186 / 9612640209 / 18295 / 3fce5199 / 59954f3fN84af16be . jpg '   / > < / div > < div   class = ' uploadimgdiv ' > < img   class = ' uploadimg '   border = ' 0 '     src = ' http : / / img30.360 buyimg . com / shaidan / jfs / t5914 / 167 / 9706827179 / 9579 / ae40e182 / 59954f3fNa53558a6 . jpg '   / > < / div > < div   class = ' uploadimgdiv ' > < img   class = ' uploadimg '   border = ' 0 '     src = ' http : / / img30.360 buyimg . com / shaidan / jfs / t7633 / 34 / 606451821 / 13134 / b2ceec69 / 59954f3fNe4c6e1cd . jpg '   / > < / div > < div   class = ' uploadimgdiv ' > < img   class = ' uploadimg '   border = ' 0 '     src = ' http : / / img30.360 buyimg . com / shaidan / jfs / t7561 / 42 / 646181505 / 13845 / ade1f578 / 59954f3fNbfb948ff . jpg '   / > < / div > < div   class = ' uploadimgdiv ' > < img   class = ' uploadimg '   border = ' 0 '     src = ' http : / / img30.360 buyimg . com / shaidan / jfs / t7567 / 44 / 614645476 / 10259 / b26826ef / 59954f3fN957a6fe3 . jpg '   / > < / div > < div   class = ' uploadimgdiv ' > < img   class = ' uploadimg '   border = ' 0 '     src = ' http : / / img30.360 buyimg . com / shaidan / jfs / t7609 / 13 / 617296932 / 16722 / ffff565b / 59954f40Nf2382ea4 . jpg '   / > < / div > < div   class = ' uploadimgdiv ' > < img   class = ' uploadimg '   border = ' 0 '     src = ' http : / / img30.360 buyimg . com / shaidan / jfs / t7231 / 47 / 628222616 / 14202 / 471a7319 / 59954f3eNa624c29b . jpg '   / > < / div >
24	1	一次性 点亮 ， 很 舒服 的 感觉 ， 准备 吃 鸡 。
25	1	首发 买 的 ， 送货 很快 ， 本来 想 等 八代 标压 的 ， 后来 被 暗 3pro 首发 给 俘获 了 内心 ， 果断 决定 不 等 了 。 要 不然的话 等 完 八代 U 再 等 20 系 显卡 ， 然后 再 等 半年 技术 成熟 了 出 4pro ， 再 然后 再 等 不到 半年 暗 5 都 要 上市 了 ， 没完没了 是 第一 ， 其二 是 到时候 外观 不 一定 符合 自己 审美 。 早买 早用 ， 有 喜欢 的 就 一定 要 入手 。 外观 很漂亮 ， 金属 的 质感 非常 出色 。 做工 很 好 ， 接缝 很小 ， 尤其 是 触控板 的 缝隙 处理 非常 到位 。 显示器 色彩 效果 尤其 满意 ， 没有 任何 坏点 ， 144Hz 刷新率 的 高色域 屏 也 是 卖点 之一 。 实物 比 图片 上 看 要 好得多 。 性能 方面 ， i5 ＋ 1050ti 的 性能 也 十分 出色 ， 吃 鸡 足够 用 。 跑 分时 i5 最高 56 度 ， 玩游戏 稳定 51 度 ， 散热 真的 非常 满意 ， 女友 用 的 是 i7   120Hz 电 竞版 ， 她 的 跑 分时 最高 92 度 之后 稳定 在 86 度 ， 吃 鸡 也 是 稳定 86 度 ， 之前 笔 吧 评测 说 i5 和 i7 最高 相差 10 度 ， 我 的 和 女友 的 i7 暗三 居然 能 正好 差 三十度 ！ 这回 永远 不 愁 散热 问题 了 。 性价比 首选 。 总之 非常 满意 。 最后 说 一下 大家 关心 的 老款 静电 关机 问题 ， 已经 确认 pro 解决 了 ， 我 这 东北 空气 湿度 30 用手 搓 毛衣 搓 了 半天 ， 然后 立马 再 摸 C 面 没有 丝毫 的 影响 。 同样 测试 女友 的 就 会 关机 。 还 在 观望 的 朋友 们 不必 纠结 了 。
26	1	用 了 一个月 才 来 评价 ， 应该 不晚 吧 。 本来 打算 买 拯救 者 R720   1060 版 的 ， 不过 1060 版 是 低 配版 的 ， 就 选 这款 了 ， 哈哈 ， 没 后悔 选 这款 ！ ！ ！ 外观 : 设计 比上 一代 大气 ， 很 适合 大多数 玩家 心意 （ 我 也 是 挺 喜欢 这种 张扬 的 外观 的 ， 哈哈 ！ ） 。 cpu . 显卡 : I7 加 1060 显卡 ， 火力 全开 ， 大部分 单机游戏 网游 无 压力 。 屏幕 : 120hz ， 画面 细腻 ， 刷新率 高 ， 玩 竞技 游戏 首选 。 17.3 寸 ， 够 大 。 （ 不过 我 的 屏幕 右下角 在 暗色 背景 下 有 轻微 漏光 ， 不过 不 细心 看 也 看不出来 ， 可以 忽略 。 ） 散热 : 由于 玩游戏 时 cpu   i7 和 显卡 1060 发热量 大 ， 3 铜管 和 双 风扇 的 散热 效果 稍 有 不足 ， 不过 配 上 散热器 辅助 散热 也 是 没 压力 的 。 内存 、 硬盘 : 海力士 内存 还好 吧 。 固态 硬盘 不是 三星 的 有点 失望 ， 不过 机械 硬盘 为 每秒 7200 转 的 ， 很 不错 了 。 重量 : 挺重 的 ， 估计 有 7 ~ 8 斤 吧 ， 长时间 携带 还是 会 感觉 挺累 的 啊 。 总结 : 很 不错 的 一款 游戏 笔记本 ， 惠普 大厂 的 东西 ， 质量 过关 ， 让 人 放心 。
27	1	为了 走 到 哪里 都 能 吃 鸡 买 的 & hellip ; & hellip ; 对比 了 很多 款式 ， 刚好 这个 搞 活动 ， 果断 下手 ， 确实 没有 让 我 失望 ！ 绝地 求生 特效 全开 ， 很 流畅 ， 画面 非常 清晰 ， 风扇 呼呼 的 。 这个 价格 确实 性价比 超高 ！
28	1	为了 走 到 哪里 都 能 吃 鸡 买 的 & amp ; hellip ; & amp ; hellip ; 对比 了 很多 款式 ， 刚好 这个 搞 活动 ， 果断 下手 ， 确实 没有 让 我 失望 ！ 绝地 求生 特效 全开 ， 很 流畅 ， 画面 非常 清晰 ， 风扇 呼呼 的 。 这个 价格 确实 性价比 超高 ！
29	1	本子 很漂亮 性能 必须 很 强大 ~     17 寸 散热 效果 没 的 说 超赞 ！ 就是 散热器 声音 大 了 点     屏幕显示 很 细腻 。 没有 出现 漏光 现象     完美 ~ 就是 偶尔 出现 卡顿 不 知道 怎么回事 。 还有 就是 这批 本子 后面 没有 序列号 的 标签     显示器 链接 处 也 没有 惠普 的 标签 了 。 总体 来说 本子 性价比 很 高 ， 做工 精致 。 外观 很 前卫 棱角 犀利 ！ 性能 强大 ~     本 在 稳定性 还 得 在 日后 使用 再 看 了 。 值得 大家 入手
